,year,LAD,comparative_adv,Topics
362,2014,Pembrokeshire,0.0,Entrepreneurship
363,2015,Pembrokeshire,0.1413010749058923,Entrepreneurship
365,2012,Blaenau Gwent,0.0,Entrepreneurship
366,2013,Blaenau Gwent,0.0,Entrepreneurship
367,2014,Blaenau Gwent,0.0,Entrepreneurship
368,2015,Blaenau Gwent,0.0,Entrepreneurship
370,2012,Carmarthenshire,0.0,Entrepreneurship
371,2013,Carmarthenshire,0.0,Entrepreneurship
372,2014,Carmarthenshire,0.0,Entrepreneurship
373,2015,Carmarthenshire,0.0,Entrepreneurship
375,2012,Cardiff,0.0,Entrepreneurship
376,2013,Cardiff,0.2157944787468004,Entrepreneurship
377,2014,Cardiff,0.19708464825602512,Entrepreneurship
378,2015,Cardiff,0.4514217808838809,Entrepreneurship
380,2012,Swansea,0.0,Entrepreneurship
381,2013,Swansea,0.0,Entrepreneurship
382,2014,Swansea,0.0,Entrepreneurship
383,2015,Swansea,0.0,Entrepreneurship
385,2012,Gwynedd,0.0,Entrepreneurship
386,2013,Gwynedd,0.0,Entrepreneurship
387,2014,Gwynedd,0.0,Entrepreneurship
388,2015,Gwynedd,0.0,Entrepreneurship
390,2012,Pembrokeshire,0.0,Programming
391,2013,Pembrokeshire,0.0,Programming
392,2014,Pembrokeshire,0.0,Programming
393,2015,Pembrokeshire,0.0,Programming
395,2012,Blaenau Gwent,0.0,Programming
396,2013,Blaenau Gwent,0.0,Programming
397,2014,Blaenau Gwent,0.0,Programming
398,2015,Blaenau Gwent,0.0,Programming
400,2012,Carmarthenshire,0.0,Programming
401,2013,Carmarthenshire,0.0,Programming
402,2014,Carmarthenshire,0.0,Programming
403,2015,Carmarthenshire,0.0,Programming
405,2012,Cardiff,0.0,Programming
406,2013,Cardiff,1.2835172540335598,Programming
407,2014,Cardiff,1.5301111386231103,Programming
408,2015,Cardiff,0.499863710947297,Programming
410,2012,Swansea,0.0,Programming
411,2013,Swansea,0.0,Programming
412,2014,Swansea,0.0,Programming
413,2015,Swansea,0.0,Programming
415,2012,Gwynedd,0.0,Programming
416,2013,Gwynedd,0.0,Programming
417,2014,Gwynedd,0.0,Programming
418,2015,Gwynedd,0.4576141638289896,Programming
420,2012,Pembrokeshire,0.0,Healthcare - AI
421,2013,Pembrokeshire,0.0,Healthcare - AI
422,2014,Pembrokeshire,0.0,Healthcare - AI
423,2015,Pembrokeshire,0.0,Healthcare - AI
425,2012,Blaenau Gwent,0.0,Healthcare - AI
426,2013,Blaenau Gwent,0.0,Healthcare - AI
427,2014,Blaenau Gwent,0.0,Healthcare - AI
428,2015,Blaenau Gwent,0.0,Healthcare - AI
430,2012,Carmarthenshire,0.0,Healthcare - AI
431,2013,Carmarthenshire,0.0,Healthcare - AI
432,2014,Carmarthenshire,0.0,Healthcare - AI
433,2015,Carmarthenshire,0.0,Healthcare - AI
435,2012,Cardiff,0.0,Healthcare - AI
436,2013,Cardiff,0.0,Healthcare - AI
437,2014,Cardiff,0.0,Healthcare - AI
438,2015,Cardiff,0.09337405608280797,Healthcare - AI
440,2012,Swansea,0.0,Healthcare - AI
441,2013,Swansea,0.0,Healthcare - AI
442,2014,Swansea,0.0,Healthcare - AI
443,2015,Swansea,0.0,Healthcare - AI
445,2012,Gwynedd,0.0,Healthcare - AI
