organisation_x,organisation_y,collab_n,similarity_color_rgba
Protherics UK Limted,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gyrus Medical Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Gower Optimal Algorithms Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Electroceramics,Swansea University,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Hyder Consulting,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Vale Europe Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Flexicare Medical Limited UK,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Laser Micromachining Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morgan Advanced Materials and Technology,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BBInternational (British Biocell),Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Micro Materials Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merck Chemicals Ltd UK,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sharp Manufacturing Co UK,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Ty Mawr Lime Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morvus Technlogy Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff University,Welsh Government,2,"(1, 0, 0, 0.9)"
Swansea University,Welsh Government,3,"(1, 0, 0, 0.9)"
Welsh Government,Welsh Government,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
G-24i,Welsh Government,1,"(1, 0, 0, 0.9)"
Morriston Hospital,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,Welsh Government,1,"(1, 0, 0, 0.9)"
Cogent Power Ltd,Welsh Government,1,"(1, 0, 0, 0.9)"
Swansea NHS Trust,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,Welsh Government,1,"(1, 0, 0, 0.9)"
Iqe (Europe) Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
HAEMAIR LTD,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,Welsh Government,1,"(1, 0, 0, 0.9)"
SPTS Technologies,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haemometrics Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Fusion,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Neath Port Talbot County,Welsh Government,1,"(1, 0, 0, 0.9)"
Abertawe Bro Morgannwg NHS Trust,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Bangor University,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Power Units M & E Engineering Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
IQE Silicon Compounds Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
INEXUS,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Aberystwyth University,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
