,Wales,index,year
731,0.0,diy_revolution,2012
732,0.0,diy_technology,2012
733,0.0,diybio,2012
734,0.0,dj_events,2012
735,0.0,dj_mixes_and_vj_sets,2012
736,0.0,django,2012
737,0.0,dji_phantom,2012
738,0.0,djs,2012
739,0.0,dna_sequencing,2012
740,0.0,docker,2012
741,0.0,doctoral_candidates,2012
742,0.0,doctrine,2012
743,0.0,doctrine2,2012
744,0.0,document_databases,2012
745,0.0,document_management_systems,2012
746,0.0,documentary,2012
747,0.0,documentary_films,2012
748,0.0,documentation,2012
749,0.0,dojo_toolkit,2012
750,0.0,domain_driven_design,2012
751,0.0,doodling,2012
752,0.0,drinking,2012
753,0.0,drizzle,2012
754,0.0,drone,2012
755,0.0,drones,2012
756,0.0,drupal,2012
757,0.0,drupal_7,2012
758,0.0,drupal_8,2012
759,0.0,drupal_community,2012
760,0.0,drupal_content_administrators,2012
761,0.0,drupal_designers,2012
762,0.0,drupal_developers,2012
763,0.0,drupal_mastering,2012
764,0.0,drupal_modules,2012
765,0.0,drupal_security,2012
766,0.0,drupal_themers,2012
767,0.0,drupal_theming,2012
768,0.0,drupal_users,2012
769,0.0,drupal_websites,2012
770,0.0,dsdm,2012
771,0.0,duckduckgo,2012
772,0.0,dynamic_languages,2012
773,0.0,dynamic_programming,2012
774,0.0,e-business_owners,2012
775,0.0,e-commerce,2012
776,0.0,e-commerce_-_internet_marketing,2012
777,0.0,e-commerce_business,2012
778,0.0,e-learning,2012
779,0.0,e-learning_systems,2012
780,0.0,early_stage_startups,2012
781,0.0,"eating,_drinking,_talking,_laughing,_etc",2012
782,0.0,ebay_seller,2012
783,0.0,ec2,2012
